"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Regra de Preço baseado no atributo ""%s"" foi desabilitado."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Criar Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir a regra. Consulte o arquivo de log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar a regra. Consulte o arquivo de log e tente novamente."
"Apply Rules","Aplicar Regras"
"Attribute Set","Grupo de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço"
"Catalog Price Rules","Regras de Preços"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para aplicar a todos os produtos)"
"Conditions Combination","Combinar Condições"
"Customer Groups","Grupo de Clientes"
"Customer Registered: %s","Cliente Registrado: %s"
"Customer is a New Buyer: %s","Novo Cliente: %s"
"Date Expire","Expira Em"
"Date From","Da Data"
"Date Start","Data Início"
"Date To","Para Data"
"Delete Rule","Excluir Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Expira em: %s"
"From Date","Iniciar em"
"General Information","Informação Geral"
"ID","ID"
"Inactive","Desativado"
"NOT LOGGED IN","VISITANTE"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Save Rule","Salvar"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar"
"Start at: %s","Iniciar em: %s"
"Status","Status"
"Stop Further Rules Processing","Aplicar Somente esta Regra"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","A regra foi aplicada."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Algumas regras foram alteradas mas não foram aplicadas. Clique em Aplicar Regras para validar imediatamente no catálogo."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Finalizar em"
"Unable to apply rules.","Não foi possível aplicar as regras."
"Unable to find a rule to delete.","Não foi possível encontrar a regra para excluir."
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Websites","Websites"
"Wrong rule specified.","Erro ao especificar a regra."
"Yes","Sim"
