"Add New Row","Adicionar Nova Linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanuméricos, traços e underlines são recomendados para nome de arquivos. Caracteres impróprios serão modificados por \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Ocorreu um erro ao solicitar o conteúdo. Entre em contato com suporte da loja."
"An error occurred while getting the requested content.","Ocorreu um erro ao recuperar conteúdo solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro enquanto era recuperado conteúdo. Entre em contato com o administrador da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar o arquivo."
"Availability:","Disponível:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não foi possível se conectar ao servidor, erro: %s."
"Catalog Product View (Downloadable)","Visualizar Produtos do Catálogo (Digitais)"
"Customer My Account Downloadable Items","Cliente Minha Conta Produtos Digitais"
"Date","Data"
"Default Link Title","Título do Link"
"Default Maximum Number of Downloads","Número Máximo de Downloads"
"Default Sample Title","Título do Exemplo"
"Disable Guest Checkout if Cart Contains Downloadable Items","Impedir Checkout como Visitante se o Carrinho Contiver Produtos Digitais"
"Downloadable Information","Informação Digital"
"Downloadable Product","Produto Digital"
"Downloadable Product Options","Opções de Produtos Digital"
"Downloadable product Section","Seção Produtos Digital"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do produto"
"Excl. Tax","Excl. Imposto"
"File","Arquivo"
"From:","De:"
"Gift Message","Mensagem p/ Presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Visualizar <a href=""%s"">Meus Produtos Digitais</a>"
"Guest checkout will only work with shareable.","Checkout como visitante irá funcionar somente com compartilhável."
"In stock","Em estoque"
"Incl. Tax","Incl. Imposto"
"Invalid download URL host.","Host URL p/ download inválido."
"Invalid download URL scheme.","Scheme URL p/ download inválido."
"Invalid download link type.","Tipo de link p/ download inválido."
"Invoiced","Faturado"
"Links can be purchased separately","Links podem ser comprados separadamente"
"Max. Downloads","Max. Downloads"
"Message:","Mensagem:"
"Move to Wishlist","Mover para Favoritos"
"My Downloadable Products","Meus Produtos Digitais"
"Open Links in New Window","Abrir Links em Nova Janela"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Status do Pedido do Produto p/ Habilitar Downloads"
"Order id cannot be null","ID do pedido não pode ser null"
"Order item id cannot be null","ID do produto não pode ser null"
"Ordered","Ordem"
"Out of stock","Sem Estoque"
"Pending","Pendente"
"Please log in to download your product.","Identifique-se no site para fazer o download do produto."
"Please set resource file and link type.","Informe a fonte do arquivo e o tipo de link."
"Please specify product link(s).","Informe o link do produto."
"Price","Preço"
"Qty","Qtd"
"Refunded","Reembolsar"
"Remaining Downloads","Downloads Disponíveis"
"Remove Item","Excluir Produto"
"Requested link does not exist.","Link acionado não existe."
"Sample","Exemplo"
"Shareable","Compartilhar"
"Shipped","Enviado"
"Sort Order","Ordem"
"Start Download","Iniciar Download"
"Status","Status"
"The file does not exist.","O arquivo não existe."
"The link has expired.","Este link expirou."
"The link is not available.","O link não está disponível."
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"Use Content-Disposition","Usar Conteúdo-Disponibilizado"
"View Order","Visualizar Pedido"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto digital."
"attachment","anexar"
"download","download"
"inline","na linha"
"sample","exemplo"
