"* Select shipping method","* Selecionar forma de entrega"
"<br />Warning: <strong>%s</strong><br />","<br />Atenção: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Atenção!</strong> Esta opção desabilita o cálculo de frete pelo vendedor. Com esta opção, API do Google ignora qualquer valor que afete o preço do frete."
"A virtual item to reflect the discount total","Um item virtual para refletir o desconto total"
"A virtual item to reflect the tax total","Um item virtual para refletir o imposto total"
"AVS Status: %s","Status AVS: %s"
"Add","Adicionar"
"Add Shipping Method","Adicionar Forma de Entrega"
"Allowed Methods","Métodos Permitidos"
"Amount: %s","Total: %s"
"Auto-generated from GoogleCheckout Charge","Gerar automaticamente através do carregamento do GoogleCheckout"
"Buyer Account Age: %s days","Tempo de Conta do Comprador: %s dias"
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Formas de Entrega Calculado"
"Cart Discount","Desconto no Carrinho"
"Checkout Image Style","Estilo Imagem Checkout"
"Continue Shopping URL","URL Continuar Comprando"
"Credit memo has been created automatically","Reembolso foi criado automaticamente"
"Debug","Debugar"
"Default Package Height (in)","Altura Padrão do Pacote (em)"
"Default Package Length (in)","Peso Padrão do Pacote (em)"
"Default Package Width (in)","Largura Padrão do Pacote (em)"
"Default Price for Methods","Preço padrão p/ Métodos"
"Default price:","Preço padrão:"
"Delivery Address Category","Categoria Endereço de Entrega"
"Delivery Schedule","Entrega Agendada"
"Disable Default Tax Tables","Tabela de Imposto Desativada por Padrão"
"Discount Tax","Taxa de Desconto"
"Eligible for Protection: %s","Elegíveis p/ Proteção: %s"
"Enable","Habilitar"
"Enable Carrier Calculated","Habilitar Cálculo de Frete"
"Enable Digital Delivery","Habilitar Entrega Digital"
"Enable Flat Rate","Habilitar Tabela de Preços"
"Enable Merchant Calculated","Habilitar Negociante Calculado"
"Enable this if your checkout request is too big and being cut off.","Habilitar caso seu checkout for muito grande e começar a cortar."
"Expiration: %s","Expiração: %s"
"Financial: %s -> %s","Financeiro: %s -> %s"
"Free Shipping","Frete Grátis"
"Fulfillment: %s -> %s","Satisfação: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorização Google:"
"Google Buyer ID: %s","Google ID do Comprador: %s"
"Google Charge:","Google Mudança:"
"Google Chargeback:","Google Estorno:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Entrega do Google Checkout - Frete Calculado"
"Google Checkout Shipping - Digital Delivery","Entrega do Google Checkout - Entrega Digital"
"Google Checkout Shipping - Flat Rate","Entrega do Google Checkout - Preço Fixo"
"Google Checkout Shipping - Merchant Calculated","Entrega do Google Checkout - Negociante Calculado"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Número do Pedido: %s"
"Google Order Status Change:","Google Alteração do Status do Pedido:"
"Google Refund:","Google Reembolso:"
"Google Risk Information:","Google Informação de Risco:"
"Hide Cart Contents","Esconder Conteúdo do Carrinho"
"IP Address: %s","Endereço IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Se habilitado, o conteúdo do carrinho será escondido depois de clicar no botão de compra do google checkout, e retorna se ""Editar Carrinho"" for clicado."
"Invoice Auto-Created: %s","Pedido Automático: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","O comprador aceita receber email marketing: %s"
"Large - %s","Extenso - %s"
"Latest Charge: %s","Últimas Alterações: %s"
"Latest Chargeback: %s","Últimos Estornos: %s"
"Latest Refund: %s","Últimos Reembolsos: %s"
"Location","Localização"
"Medium - %s","Médio - %s"
"Merchant ID","ID do Vendedor"
"Merchant Key","Chave do Vendedor"
"Method","Método"
"New Order Status","Novo Status do Pedido"
"No","Não"
"Optional, leave empty for home page.","Opcional, deixe em branco para página inicial."
"Rate 1 Amount","Taxa 1 Valor"
"Rate 1 Ship To Applicable Countries","Taxa 1 Entrega para países selecionados"
"Rate 1 Ship to Specific Countries","Taxa 1 Entrega para países específicos"
"Rate 1 Title","Taxa 1 Título"
"Rate 2 Amount","Taxa 2 Valor"
"Rate 2 Ship To Applicable Countries","Taxa 2 Entrega para países selecionados"
"Rate 2 Ship to Specific Countries","Taxa 2 Entrega para países específicos"
"Rate 2 Title","Taxa 2 Título"
"Rate 3 Amount","Taxa 3 Valor"
"Rate 3 Ship To Applicable Countries","Taxa 3 Entrega para países selecionados"
"Rate 3 Ship to Specific Countries","Taxa 3 Entrega para países específicos"
"Rate 3 Title","Taxa 3 Título"
"Remove","Excluir"
"Required for live Google Checkout transactions.","Obrigatório para transações em tempo real do Google Checkout."
"Sandbox","Ambiente de Teste"
"Secure Callback URL","URL Segura de Retorno"
"Small - %s","Pequeno - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","O valor do imposto aplicado tem base nas informações recebidas do Google Checkout, porque o valor do imposto recebido do Google Checkout é diferente do valor do imposto calculado"
"Title","Titulo"
"Total Chargeback: %s","Total Estornado: %s"
"Total Charged: %s","Total Alterado: %s"
"Total Refunded: %s","Total Reembolsado: %s"
"Transparent","Transparente"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"White Background","Fundo Branco"
"Yes","Sim"
"You will be redirected to GoogleCheckout in a few seconds.","Você será redirecionado para o GoogleCheckout em alguns segundos."
